id,title,year,votes,revenue,rating,director
10,Passengers,2016,192177,100.01,G,Morten Tyldum
22,Manchester by the Sea,2016,134213,47.7,unrated,Kenneth Lonergan
1,Guardians of the Galaxy,2014,757074,333.13,G,James Gunn
12,H_idden Figures,2016,93103,169.27,unrated,Theodore Melfi
25,Independence Day: Resurgence,2016,127553,103.14,unrated,Roland Emmerich
55,The Dark Knight,2008,1791916,533.32,G,Christopher Nolan
60,Sully,2016,137608,125.07,unrated,Clint Eastwood
62,The Autopsy of Jane Doe,2016,35870,,unrated,André Øvredal
24,Trolls,2016,38552,153.69,unrated,Walt Dohrn
59,Their Finest,2016,3739,3.18,unrated,Lone Scherfig
53,Mother's Day,2016,20221,32.46,unrated,Garry Marshall
70,Deepwater Horizon,2016,89849,61.28,unrated,Peter Berg
67,Patriots Day,2016,39784,31.86,unrated,Peter Berg
50,The Last Face,2016,987,,unrated,Sean Penn
81,Inception,2010,1583625,292.57,G,Christopher Nolan
74,Collateral Beauty,2016,43977,30.98,unrated,Dav_id F_idel
73,A Monster Calls,2016,39134,3.73,unrated,J.A. Bayona
93,The Help,2007,225,169.71,G,Tate Taylor
75,Zootopia,2016,296853,341.26,G,Byron Howard
49,Star Trek Beyond,2016,164567,158.8,unrated,Justin Lin
34,Deadpool,2016,627797,363.02,G,Tim Miller
_design/794d3a1331c7f3304fb7715d2e2b21095f9e1be9,,0,0,0,0,
6,The Great Wall,2016,56036,45.13,unrated,Yimou Zhang
40,5- 25- 77,2016,241,,unrated,Patrick Read Johnson
72,Allied,2016,78079,40.07,unrated,Robert Zemeckis
44,The Founder,2016,37033,12.79,unrated,John Lee Hancock
91,Prisoners,2013,431185,60.96,G,Denis Villeneuve
95,Avengers: Age of Ultron,2015,516895,458.99,G,Joss Whedon
31,Why Him?,2016,48123,60.31,unrated,John Hamburg
13,Rogue One,2016,323118,532.17,unrated,Gareth Edwards
32,Top Dog,1978,126030,10.64,unrated,Feliks Falk
33,X-Men: Apocalypse,2016,275510,155.33,G,Bryan Singer
17,Hacksaw R_idge,2016,211760,67.12,G,Mel Gibson
20,Arrival,2016,340798,100.5,G,Denis Villeneuve
42,Moonlight,2016,135095,27.85,unrated,Barry Jenkins
26,Paris pieds nus,2016,222,,unrated,Dominique Abel
39,The Magnificent Seven,2016,122853,93.38,unrated,Antoine Fuqua
16,The Secret Life of Pets,2016,120259,368.31,unrated,Chris Renaud
4,Sing,2016,60545,270.32,unrated,Christophe Lourdelet
64,Fifty Shades of Grey,2015,244474,166.15,unrated,Sam Taylor-Johnson
56,Silence,2016,49190,7.08,G,Martin Scorsese
28,Dead Awake,2016,523,0.01,unrated,Phillip Guzman
11,Fantastic Beasts and Where to Find Them,2016,232072,234.02,unrated,Dav_id Yates
54,John Wick,2014,321933,43,unrated,Chad Stahelski
80,Ghostbusters,2016,147717,128.34,unrated,Paul Feig
45,Lowr_iders,2016,279,4.21,unrated,Ricardo de Montreuil
97,Kimi no na wa,2016,34110,4.68,G,Makoto Shinkai
15,Colossal,2016,8612,2.87,G,Nacho Vigalondo
90,The Accountant,2016,162122,86.2,unrated,Gavin O'Connor
92,Warcraft,2016,187547,47.17,unrated,Duncan Jones
98,The Vo_id,2016,9247,0.15,unrated,Jeremy Gillespie
19,Lion,2016,102061,51.69,G,Garth Davis
61,Batman v Superman: Dawn of Justice,2016,472307,330.25,unrated,Zack Snyder
76,Pirates of the Caribbean: At World's End,2016,498821,309.4,unrated,Gore Verbinski
69,Wakefield,2016,291,0.01,unrated,Robin Swicord
48,Fallen,2016,5103,,unrated,Scott Hicks
_design/f2e6f01a9d833e6d7edf525aeb2a6dccd91456f8,,0,0,0,0,
82,Captain Fantastic,2016,105081,5.88,unrated,Matt Ross
100,The Departed,2006,937414,132.37,G,Martin Scorsese
36,Captain America: Civil War,2016,411656,408.08,unrated,Anthony Russo
35,Res_ident Evil: The Final Chapter,2016,46165,26.84,unrated,Richard Gage
14,Moana,2016,118151,248.75,G,Ron Clements
46,Pirates of the Caribbean: On Stranger T_ides,2007,160,241.06,unrated,Rob Marshall
29,Bad Moms,2016,66540,113.08,unrated,Jon Lucas
66,Kingsman: The Secret Service,2014,440209,128.25,unrated,Matthew Vaughn
43,Don't Fuck in the Woods,2016,496,,unrated,Shawn Burkett
30,Assassin's Creed,2016,112813,54.65,G,Justin Kurzel
47,Miss Sloane,2016,17818,3.44,unrated,John Madden
89,The Hateful Eight,2015,341170,54.12,G,Quentin Tarantino
68,Mad Max: Fury Road,2015,632842,153.63,G,George Miller
71,The Promise,2016,149791,,unrated,Terry George
8,Mindhorn,2016,2490,,unrated,Sean Foley
79,Pirates of the Caribbean: Dead Man's Chest,2006,552027,423.03,unrated,Gore Verbinski
57,Don't Breathe,2016,121103,89.21,unrated,Fede Alvarez
77,The Avengers,2012,1045588,623.28,G,Joss Whedon
9,The Lost City of Z,2016,7188,8.01,unrated,James Gray
88,Avatar,2009,935408,760.51,G,James Cameron
27,Bahubali: The Beginning,2015,76193,6.5,G,S.S. Rajamouli
65,The Prestige,2006,913152,53.08,G,Christopher Nolan
86,Jurassic World,2015,455169,652.18,unrated,Colin Trevorrow
99,Personal Shopper,2016,10181,1.29,unrated,Olivier Assayas
21,Gold,2016,19053,7.22,unrated,Stephen Gaghan
51,Star Wars: Episode VII - The Force Awakens,2015,661608,936.63,G,J.J. Abrams
63,The Girl on the Train,2016,102177,75.31,unrated,Tate Taylor
37,Interstellar,2014,1047747,187.99,G,Christopher Nolan
18,Jason Bourne,2016,150823,162.16,unrated,Paul Greengrass
52,Underworld: Blood Wars,2016,41362,30.35,unrated,Anna Foerster
3,Split,2016,157606,138.12,unrated,M. Night Shyamalan
2,Prometheus,2012,485820,126.46,unrated,R_idley Scott
85,Furious Seven,2015,301249,350.03,unrated,James Wan
41,Sausage Party,2016,120690,97.66,unrated,Greg Tiernan
7,La La Land,2016,258682,151.06,G,Damien Chazelle
78,Inglourious Basterds,2009,959065,120.52,G,Quentin Tarantino
5,Suic_ide Squad,2016,393727,325.02,G,Dav_id Ayer
83,The Wolf of Wall Street,2013,865134,116.87,G,Martin Scorsese
84,Gone Girl,2014,636243,167.74,G,Dav_id Fincher
87,Live by Night,2016,27869,10.38,unrated,Ben Affleck
58,Me Before You,2016,113322,56.23,unrated,Thea Sharrock
23,Hounds of Love,2016,1115,,unrated,Ben Young
94,War Dogs,2016,106463,43.02,unrated,Todd Phillips
38,Doctor Strange,2016,293732,232.6,unrated,Scott Derrickson
96,The Nice Guys,2016,175067,36.25,unrated,Shane Black
